ID,X,Y,ELEV,DESC
171,328243.6835,2074490.037,564.7,
172,328240.0531,2074495.344,565.1,
173,328237.1526,2074499.885,565.5,
174,328232.7898,2074505.938,566,
175,328231.3357,2074508.934,566.2,
176,328229.165,2074514.17,566.4,
177,328226.991,2074517.201,566.6,
178,328224.8238,2074520.97,566.9,
179,328222.6659,2074526.214,567.1,
180,328220.4809,2074530.695,567.3,
181,328219.0175,2074534.409,567.5,
182,328216.8099,2074540.338,567.1,
183,328215.3144,2074545.493,566.7,
184,328213.8186,2074549.916,566.3,
185,328212.2534,2074555.755,565.7,
186,328211.4692,2074558.676,565.4,
187,328210.6492,2074563.782,564.9,
188,328209.8374,2074566.687,564.5,
189,328209.0147,2074568.848,564.1,
190,328207.333,2074574.63,562.9,
191,328206.4821,2074577.519,562.3,
192,328205.6563,2074579.691,561.9,
193,328205.5083,2074584.03,560.9,
194,328204.6015,2074590.603,559.5,
195,328204.5031,2074594.251,558.7,
196,328201.4165,2074600.915,558.2,
197,328200.6051,2074605.348,558,
198,328198.334,2074612.058,557.8,
199,328197.5735,2074616.529,557.5,
200,328196.82,2074620.259,557.3,
201,328196.7996,2074626.21,556.8,
202,328196.0762,2074630.704,556.8,
203,328195.3533,2074637.435,556.8,
204,328193.9157,2074642.699,556.9,
205,328193.2378,2074648.704,556.9,
206,328193.2578,2074653.189,556.8,
207,328193.2688,2074655.431,556.7,
208,328192.554,2074658.438,556.8,
209,328191.9051,2074665.196,557.1,
210,328191.979,2074669.697,557.2,
211,328191.3507,2074675.71,557.5,
212,328191.4636,2074681.708,557.7,
213,328191.6635,2074689.961,558,
214,328191.7732,2074694.459,558.5,
215,328191.2297,2074701.214,559.3,
216,328191.3268,2074704.21,559.7,
217,328191.4475,2074707.953,560.1,
218,328191.6651,2074714.684,560.8,
219,328191.7993,2074721.4,561.4,
220,328191.8981,2074730.349,561.4,
221,328192.6854,2074736.308,561.3,
222,328193.418,2074742.27,561.2,
223,328194.8844,2074749.722,560.9,
224,328194.9043,2074754.202,560.6,
225,328196.2928,2074760.179,559.9,
226,328196.9508,2074767.666,559.1,
227,328198.3353,2074775.164,558.2,
228,328199.0461,2074782.662,557.5,
229,328201.1926,2074789.423,556.7,
230,328201.1895,2074795.431,556.5,
231,328203.3419,2074801.457,555.6,
232,328206.2232,2074810.507,554.3,
233,328206.9305,2074814.285,553.8,
234,328209.0332,2074818.099,553.1,
235,328211.1686,2074823.418,552.2,
236,328214.0831,2074827.22,551.4,
237,328217.7498,2074830.268,550.6,
238,328219.9362,2074833.318,550,
239,328222.1261,2074835.614,549.5,
240,328225.0589,2074837.157,549,
241,328227.2553,2074839.457,548.5,
242,328230.9719,2074840.227,547.9,
243,328234.6908,2074842.52,547.2,
244,328240.7234,2074845.538,546.8,
245,328242.9878,2074846.289,546.7,
246,328248.3012,2074849.293,546.5,
247,328250.6015,2074851.543,546.4,
248,328252.1319,2074852.284,546.3,
249,328255.2077,2074855.28,546.2,
250,328259.807,2074858.26,546.1,
251,328263.644,2074861.246,546,
252,328265.9363,2074862.742,546,
253,328268.2345,2074864.994,545.9,
254,328270.5407,2074868.004,545.8,
255,328272.8389,2074870.258,545.8,
256,328275.9111,2074874.02,545.7,
257,328277.4502,2074876.278,545.6,
258,328280.5224,2074880.04,545.5,
259,328285.1348,2074886.062,545.3,
260,328287.4427,2074889.838,545.3,
261,328289.7357,2074892.102,545.2,
262,328292.0287,2074894.365,545.1,
263,328295.0819,2074896.625,545,
264,328297.377,2074898.89,544.9,
265,328301.2012,2074902.666,544.8,
266,328303.4915,2074904.172,544.7,
267,328306.5545,2074907.959,544.3,
268,328309.6047,2074910.234,544.1,
269,328312.6493,2074910.981,543.9,
270,328314.9327,2074911.732,543.8,
271,328320.2477,2074912.491,543.6,
272,328321.7557,2074912.507,543.5,
273,328327.0462,2074912.551,543.2,
274,328330.074,2074911.799,542.9,
275,328332.3411,2074909.504,542.8,
276,328334.6083,2074907.21,542.7,
277,328335.3636,2074906.447,542.7,
278,328338.3668,2074902.656,542.6,
279,328341.3766,2074900.402,542.3,
280,328345.1339,2074896.626,542.1,
281,328347.3893,2074892.814,541.9,
282,328348.131,2074889.756,541.9,
283,328348.1136,2074886.7,542,
284,328348.0751,2074882.139,542.1,
285,328348.0456,2074878.333,542.2,
286,328346.5057,2074875.284,542.4,
287,328344.2232,2074874.52,542.6,
288,328341.1767,2074872.993,542.9,
289,328337.3852,2074872.22,543.1,
290,328329.0183,2074870.725,543.7,
291,328325.9705,2074869.982,543.9,
292,328322.1636,2074869.244,544.1,
293,328315.302,2074867.009,544.3,
294,328309.9698,2074865.524,544.5,
295,328305.4079,2074864.79,544.6,
296,328300.837,2074863.302,544.8,
297,328295.4921,2074860.306,545,
298,328287.8739,2074857.324,545.2,
299,328281.7751,2074854.334,545.5,
300,328277.9708,2074852.841,545.6,
301,328271.1122,2074849.099,545.8,
302,328265.7604,2074845.356,546,
303,328260.4393,2074843.117,546.2,
304,328253.5886,2074838.617,546.5,
305,328250.5396,2074836.367,546.7,
306,328243.7078,2074831.861,547.3,
307,328239.9873,2074828.814,547.7,
308,328237.0129,2074826.531,548,
309,328234.0382,2074825.009,548.5,
310,328231.0748,2074821.97,549.2,
311,328228.11,2074819.694,549.8,
312,328225.9116,2074817.41,550.3,
313,328224.4557,2074815.128,550.7,
314,328223.0008,2074812.849,551.2,
315,328220.0663,2074807.553,551.9,
