ID,X(LocalCRS),Y(LocalCRS),ELEV,DESC,X(UTM43N),Y(UTM43N)
115,258.548,103.989,552.1,,328318.548,2074403.989
116,260.7702,103.802,551.7,,328320.7702,2074403.802
117,263.7373,103.552,551.2,,328323.7373,2074403.552
118,268.9785,103.264,550.4,,328328.9785,2074403.264
119,272.7273,103.058,549.8,,328332.7273,2074403.058
120,276.4771,102.842,549.2,,328336.4771,2074402.842
121,280.9906,103.345,548.6,,328340.9906,2074403.345
122,282.4957,103.268,548.3,,328342.4957,2074403.268
123,286.2877,105.366,547.7,,328346.2877,2074405.366
124,291.5843,106.634,546.9,,328351.5843,2074406.634
125,296.116,107.86,546.3,,328356.116,2074407.86
126,299.1507,109.931,545.8,,328359.1507,2074409.931
127,305.9746,112.529,544.7,,328365.9746,2074412.529
128,308.2632,114.653,544.3,,328368.2632,2074414.653
129,311.3107,116.732,543.7,,328371.3107,2074416.732
130,314.3809,121.076,543,,328374.3809,2074421.076
131,316.6817,123.961,542.5,,328376.6817,2074423.961
132,317.4674,127.659,542.1,,328377.4674,2074427.659
133,321.3142,133.449,541.3,,328381.3142,2074433.449
134,319.0487,135.816,541.4,,328379.0487,2074435.816
135,316.0047,135.955,541.9,,328376.0047,2074435.955
136,313.7238,136.059,542.2,,328373.7238,2074436.059
137,303.0701,132.088,544.2,,328363.0701,2074432.088
138,292.4642,127.454,546,,328352.4642,2074427.454
139,287.1762,125.51,547,,328347.1762,2074425.51
140,284.9093,124.145,547.5,,328344.9093,2074424.145
141,281.9102,124.347,548.1,,328341.9102,2074424.347
142,276.6656,123.23,549.2,,328336.6656,2074423.23
143,271.4352,122.851,550.2,,328331.4352,2074422.851
144,267.6912,122.324,550.9,,328327.6912,2074422.324
145,263.2177,122.613,551.8,,328323.2177,2074422.613
146,258.7529,121.442,552.7,,328318.7529,2074421.442
147,255.0577,121.745,553.7,,328315.0577,2074421.745
148,249.8957,122.168,555,,328309.8957,2074422.168
149,246.2174,122.473,555.9,,328306.2174,2074422.473
150,241.0895,122.93,557.2,,328301.0895,2074422.93
151,238.8959,123.126,557.8,,328298.8959,2074423.126
152,233.761,123.514,559.1,,328293.761,2074423.514
153,228.6109,123.841,560.1,,328288.6109,2074423.841
154,224.9393,124.075,560.5,,328284.9393,2074424.075
155,222.7686,125.746,560.9,,328282.7686,2074425.746
156,221.3623,128.896,561.3,,328281.3623,2074428.896
157,219.2267,132.09,561.7,,328279.2267,2074432.09
158,217.7909,134.433,562,,328277.7909,2074434.433
159,216.3618,137.518,562.3,,328276.3618,2074437.518
160,214.1992,140.636,562.6,,328274.1992,2074440.636
161,212.0476,144.503,562.9,,328272.0476,2074444.503
162,209.1552,149.114,563.1,,328269.1552,2074449.114
163,207.7152,152.161,563.1,,328267.7152,2074452.161
164,205.5409,155.969,563.2,,328265.5409,2074455.969
165,203.3891,162.005,563.2,,328263.3891,2074462.005
166,201.2237,166.552,563.3,,328261.2237,2074466.552
167,196.1139,174.857,563.6,,328256.1139,2074474.857
168,195.3785,175.616,563.7,,328255.3785,2074475.616
169,188.0336,182.474,564.3,,328248.0336,2074482.474
170,184.399,187.786,564.7,,328244.399,2074487.786
171,183.6835,190.037,564.7,,328243.6835,2074490.037
172,180.0531,195.344,565.1,,328240.0531,2074495.344
173,177.1526,199.885,565.5,,328237.1526,2074499.885
174,172.7898,205.938,566,,328232.7898,2074505.938
175,171.3357,208.934,566.2,,328231.3357,2074508.934
176,169.165,214.17,566.4,,328229.165,2074514.17
177,166.991,217.201,566.6,,328226.991,2074517.201
178,164.8238,220.97,566.9,,328224.8238,2074520.97
179,162.6659,226.214,567.1,,328222.6659,2074526.214
180,160.4809,230.695,567.3,,328220.4809,2074530.695
181,159.0175,234.409,567.5,,328219.0175,2074534.409
182,156.8099,240.338,567.1,,328216.8099,2074540.338
183,155.3144,245.493,566.7,,328215.3144,2074545.493
184,153.8186,249.916,566.3,,328213.8186,2074549.916
185,152.2534,255.755,565.7,,328212.2534,2074555.755
186,151.4692,258.676,565.4,,328211.4692,2074558.676
187,150.6492,263.782,564.9,,328210.6492,2074563.782
188,149.8374,266.687,564.5,,328209.8374,2074566.687
189,149.0147,268.848,564.1,,328209.0147,2074568.848
190,147.333,274.63,562.9,,328207.333,2074574.63
191,146.4821,277.519,562.3,,328206.4821,2074577.519
192,145.6563,279.691,561.9,,328205.6563,2074579.691
193,145.5083,284.03,560.9,,328205.5083,2074584.03
194,144.6015,290.603,559.5,,328204.6015,2074590.603
195,144.5031,294.251,558.7,,328204.5031,2074594.251
196,141.4165,300.915,558.2,,328201.4165,2074600.915
197,140.6051,305.348,558,,328200.6051,2074605.348
198,138.334,312.058,557.8,,328198.334,2074612.058
199,137.5735,316.529,557.5,,328197.5735,2074616.529
200,136.82,320.259,557.3,,328196.82,2074620.259
201,136.7996,326.21,556.8,,328196.7996,2074626.21
202,136.0762,330.704,556.8,,328196.0762,2074630.704
203,135.3533,337.435,556.8,,328195.3533,2074637.435
204,133.9157,342.699,556.9,,328193.9157,2074642.699
205,133.2378,348.704,556.9,,328193.2378,2074648.704
206,133.2578,353.189,556.8,,328193.2578,2074653.189
207,133.2688,355.431,556.7,,328193.2688,2074655.431
208,132.554,358.438,556.8,,328192.554,2074658.438
209,131.9051,365.196,557.1,,328191.9051,2074665.196
210,131.979,369.697,557.2,,328191.979,2074669.697
211,131.3507,375.71,557.5,,328191.3507,2074675.71
212,131.4636,381.708,557.7,,328191.4636,2074681.708
213,131.6635,389.961,558,,328191.6635,2074689.961
214,131.7732,394.459,558.5,,328191.7732,2074694.459
215,131.2297,401.214,559.3,,328191.2297,2074701.214
216,131.3268,404.21,559.7,,328191.3268,2074704.21
217,131.4475,407.953,560.1,,328191.4475,2074707.953
218,131.6651,414.684,560.8,,328191.6651,2074714.684
219,131.7993,421.4,561.4,,328191.7993,2074721.4
220,131.8981,430.349,561.4,,328191.8981,2074730.349
221,132.6854,436.308,561.3,,328192.6854,2074736.308
222,133.418,442.27,561.2,,328193.418,2074742.27
223,134.8844,449.722,560.9,,328194.8844,2074749.722
224,134.9043,454.202,560.6,,328194.9043,2074754.202
225,136.2928,460.179,559.9,,328196.2928,2074760.179
226,136.9508,467.666,559.1,,328196.9508,2074767.666
227,138.3353,475.164,558.2,,328198.3353,2074775.164
228,139.0461,482.662,557.5,,328199.0461,2074782.662
229,141.1926,489.423,556.7,,328201.1926,2074789.423
230,141.1895,495.431,556.5,,328201.1895,2074795.431
231,143.3419,501.457,555.6,,328203.3419,2074801.457
232,146.2232,510.507,554.3,,328206.2232,2074810.507
233,146.9305,514.285,553.8,,328206.9305,2074814.285
234,149.0332,518.099,553.1,,328209.0332,2074818.099
235,151.1686,523.418,552.2,,328211.1686,2074823.418
236,154.0831,527.22,551.4,,328214.0831,2074827.22
237,157.7498,530.268,550.6,,328217.7498,2074830.268
238,159.9362,533.318,550,,328219.9362,2074833.318
239,162.1261,535.614,549.5,,328222.1261,2074835.614
240,165.0589,537.157,549,,328225.0589,2074837.157
241,167.2553,539.457,548.5,,328227.2553,2074839.457
242,170.9719,540.227,547.9,,328230.9719,2074840.227
243,174.6908,542.52,547.2,,328234.6908,2074842.52
244,180.7234,545.538,546.8,,328240.7234,2074845.538
245,182.9878,546.289,546.7,,328242.9878,2074846.289
246,188.3012,549.293,546.5,,328248.3012,2074849.293
247,190.6015,551.543,546.4,,328250.6015,2074851.543
248,192.1319,552.284,546.3,,328252.1319,2074852.284
249,195.2077,555.28,546.2,,328255.2077,2074855.28
250,199.807,558.26,546.1,,328259.807,2074858.26
251,203.644,561.246,546,,328263.644,2074861.246
252,205.9363,562.742,546,,328265.9363,2074862.742
253,208.2345,564.994,545.9,,328268.2345,2074864.994
254,210.5407,568.004,545.8,,328270.5407,2074868.004
255,212.8389,570.258,545.8,,328272.8389,2074870.258
256,215.9111,574.02,545.7,,328275.9111,2074874.02
257,217.4502,576.278,545.6,,328277.4502,2074876.278
258,220.5224,580.04,545.5,,328280.5224,2074880.04
259,225.1348,586.062,545.3,,328285.1348,2074886.062
